4-1-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,stl,edm,23.13,stl,stl,2-1,,8,-1355.4228245875909,+1355.4228245875909
,tor,mtl,-27.13,mtl,mtl,0-4,,10,+3746.1538461538544,-3746.1538461538544
,nyr,phi,15.94,nyr,phi,2-4,6,,-477.5505026321408,+477.5505026321408
,ott,sj,2.92,ott,ott,4-2,,1,-124.57644328287114,+124.57644328287114
,,,,,,,,
2-27-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,la,ana,-3.2,ana,ana,2-4,,2,+128.1517331081652,-128.1517331081652
,bos,nj,0.34,bos,bos,3-2,,1,-100.0,+100.0
,cgy,nyi,-8.37,nyi,nyi,1-2,,3,+214.1167194906283,-214.1167194906283
,wsh,car,9.84,wsh,car,0-3,4,,-248.03633602469972,+248.03633602469972
,chi,tb,-6.62,tb,tb,0-4,,3,+180.0591952169793,-180.0591952169793
,col,dal,3.56,col,col,5-4,,2,-132.8798728819623,+132.8798728819623
,,,,,,,,
2-26-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,nyr,-29.22,nyr,nyr,3-4,,10,+3746.1538461538544,-3746.1538461538544
,van,buf,24.34,van,buf,3-6,9,,-1740.2729884680255,+1740.2729884680255
,chi,fla,14.95,chi,chi,3-0,,5,-426.09425711106786,+426.09425711106786
,mtl,cbj,16.66,mtl,mtl,5-2,,6,-520.2814788000552,+520.2814788000552
,det,sj,4.14,det,det,3-2,,2,-140.824067850308,+140.824067850308
,ott,la,-16.46,la,ott,1-0,6,,+507.9115155686056,-507.9115155686056
,min,nsh,-13.87,nsh,min,4-2,5,,+377.8747372582092,-377.8747372582092
,phi,tor,-1.99,tor,tor,2-3,,1,+113.30410596973732,-113.30410596973732
,stl,wpg,7.59,stl,stl,2-1,,3,-198.17827431127535,+198.17827431127535
,,,,,,,,
2-25-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ott,ana,-9.03,ana,ott,3-0,4,,+228.6727670225813,-228.6727670225813
,cgy,nj,3.84,cgy,cgy,3-1,,2,-136.66334831538936,+136.66334831538936
,pit,wsh,-5.56,wsh,pit,4-3,2,,+162.15276948686176,-162.15276948686176
,,,,,,,,
2-24-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,nyi,-23.2,nyi,nyi,1-5,,8,+1373.7931675838279,-1373.7931675838279
,van,bos,7.03,van,van,2-1,,3,-187.5018826147797,+187.5018826147797
,buf,cbj,-13.63,cbj,buf,4-2,5,,+368.11658275896315,-368.11658275896315
,cgy,nyr,-7.02,nyr,nyr,0-1,,3,+187.31669195053558,-187.31669195053558
,phi,car,-4.79,car,car,1-4,,2,+150.23865954351737,-150.23865954351737
,fla,chi,-11.84,chi,chi,2-3,,4,+304.36270640303303,-304.36270640303303
,col,nsh,-21.03,nsh,nsh,2-5,,8,+943.4146814628871,-943.4146814628871
,dal,wpg,-0.03,wpg,wpg,2-4,,1,+100.0,-100.0
,det,la,2.18,det,la,0-1,1,,-115.53473108325876,+115.53473108325876
,edm,min,-24.6,min,edm,2-1,9,,+1846.5538786888437,-1846.5538786888437
,mtl,stl,-0.41,stl,mtl,5-2,1,,+100.0,-100.0
,,,,,,,,
2-23-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,det,ana,-1.94,ana,ana,3-4,,1,+112.72303908517678,-112.72303908517678
,ari,nj,-8.2,nj,nj,0-3,,3,+210.53096108693504,-210.53096108693504
,,,,,,,,
2-22-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,bos,chi,-9.25,chi,bos,6-2,4,,+233.76121765615153,-233.76121765615153
,nsh,buf,21.26,nsh,nsh,2-1,,8,-978.3760774589391,+978.3760774589391
,tb,col,-0.24,col,col,4-5,,1,+100.0,-100.0
,cbj,nyr,-9.19,nyr,nyr,3-4,,4,+232.3612443209255,-232.3612443209255
,dal,min,-10.09,min,min,2-6,,4,+254.37702019511033,-254.37702019511033
,fla,pit,-4.55,pit,pit,1-5,,2,+146.69689690666962,-146.69689690666962
,van,nyi,-6.29,nyi,van,4-0,3,,+174.2849475133554,-174.2849475133554
,wsh,phi,2.49,wsh,phi,2-3,1,,-119.25255612615055,+119.25255612615055
,,,,,,,,
2-21-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,edm,14.2,ana,ana,2-1,,5,-391.83247740539144,+391.83247740539144
,tb,ari,14.76,tb,tb,4-2,,5,-417.06070522484106,+417.06070522484106
,car,nj,-5.61,nj,nj,1-3,,2,+162.956815641009,-162.956815641009
,cbj,mtl,-7.32,mtl,mtl,1-3,,3,+192.95467868152164,-192.95467868152164
,det,dal,11.7,det,det,7-6,,4,-299.9644476046572,+299.9644476046572
,fla,ott,2.31,fla,ott,1-4,1,,-117.08183746750507,+117.08183746750507
,la,sj,0.9,la,la,2-1,,1,-101.1712638025839,+101.1712638025839
,nsh,phi,9.03,nsh,phi,2-3,4,,-228.6727670225813,+228.6727670225813
,nyi,wsh,0.84,nyi,wsh,2-3,1,,-100.53460048754168,+100.53460048754168
,pit,stl,-12.05,stl,pit,4-2,5,,+311.10531359257135,-311.10531359257135
,wpg,tor,6.46,wpg,tor,3-4,3,,-177.23610043914806,+177.23610043914806
,,,,,,,,
2-20-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,cgy,-5.53,cgy,ana,6-3,2,,+161.6721791973295,-161.6721791973295
,bos,stl,-14.76,stl,stl,1-5,,5,+417.06070522484106,-417.06070522484106
,nyr,buf,28.51,nyr,nyr,3-1,,10,-3746.1538461538544,+3746.1538461538544
,tor,car,-14.42,car,car,1-2,,5,+401.5035751357473,-401.5035751357473
,col,chi,-9.21,chi,col,4-1,4,,+232.82687492370147,-232.82687492370147
